16
9	16	13	7	3	1	10	8	12	6	-1	-1	2	11	15	14
14	12	-1	-1	13	7	5	2	9	8	10	3	1	4	6	16
6	10	5	8	-1	9	4	15	2	11	14	1	12	7	13	3
3	1	4	2	11	6	12	14	13	16	7	15	-1	9	5	8
8	7	6	5	2	4	-1	1	11	9	12	10	15	-1	16	13
4	-1	2	1	10	12	11	9	15	13	16	14	7	-1	8	5
12	11	-1	9	14	-1	15	13	7	5	8	6	3	2	4	1
16	15	14	13	6	8	-1	5	3	1	-1	-1	11	10	-1	9
-1	2	9	16	8	11	13	4	10	12	3	5	6	1	14	15
5	14	12	11	15	3	9	16	6	7	-1	8	4	-1	10	2
-1	6	8	4	7	2	14	10	16	-1	9	13	5	3	11	12
15	13	3	10	1	5	6	12	4	14	2	11	8	16	9	7
13	4	7	12	9	10	8	3	5	2	6	-1	14	15	1	11
2	8	1	3	4	13	16	11	14	10	15	12	-1	-1	7	6
10	9	16	14	5	15	1	6	8	3	11	7	13	12	2	4
11	5	-1	6	12	14	2	7	1	4	13	9	16	-1	3	10
