16
-1	10	-1	4	1	6	-1	-1	5	-1	12	14	15	-1	-1	9
15	-1	-1	6	3	-1	12	-1	7	16	9	-1	8	-1	4	-1
12	-1	-1	5	9	16	-1	13	-1	-1	8	6	7	2	-1	14
7	9	16	8	-1	4	-1	11	-1	-1	3	-1	1	5	12	6
1	4	-1	3	8	7	5	-1	-1	9	-1	-1	-1	-1	-1	15
13	16	14	-1	12	-1	-1	-1	-1	-1	6	7	-1	-1	1	3
-1	12	10	-1	4	-1	1	2	16	13	-1	-1	6	8	5	-1
5	8	6	-1	16	-1	13	14	4	1	2	3	10	-1	-1	-1
16	-1	-1	-1	-1	9	-1	3	14	-1	11	12	-1	-1	-1	-1
14	15	-1	-1	5	-1	6	-1	9	7	13	-1	-1	1	8	10
8	-1	-1	10	7	-1	-1	-1	3	-1	4	-1	11	-1	14	-1
-1	13	7	12	14	2	11	-1	6	8	5	-1	-1	-1	-1	4
-1	3	8	-1	-1	1	-1	9	11	6	-1	5	12	-1	7	-1
6	7	5	9	15	14	10	12	-1	-1	-1	8	4	13	11	16
11	1	15	14	6	5	2	16	13	-1	7	-1	-1	10	3	8
4	2	12	-1	-1	8	3	-1	-1	14	-1	-1	-1	-1	-1	1
