16
11	14	2	15	10	1	8	3	4	12	5	6	13	9	7	16
4	16	1	6	5	7	2	13	3	9	-1	-1	11	14	15	12
7	3	12	13	4	9	15	16	1	2	14	11	5	6	8	10
9	8	10	5	12	6	14	11	15	13	7	16	4	3	2	1
5	6	9	7	16	13	-1	4	12	14	15	10	1	2	3	8
12	4	13	2	1	15	6	5	7	8	11	3	16	10	14	9
15	11	14	1	8	10	3	9	16	5	6	2	7	13	12	4
8	-1	16	3	-1	14	7	12	9	1	13	4	15	11	6	5
16	7	8	9	6	5	12	1	11	4	2	14	3	15	-1	13
3	12	5	-1	14	2	10	7	13	16	9	15	8	1	4	6
-1	15	6	14	13	11	4	8	5	10	3	-1	9	7	16	2
13	2	4	10	9	3	16	15	8	6	1	7	12	5	11	14
2	1	3	4	15	16	13	14	6	7	8	5	10	12	-1	11
10	9	11	12	7	8	5	6	2	3	4	1	14	16	13	15
14	13	15	-1	3	4	1	2	10	11	12	9	6	8	5	7
6	5	7	8	11	12	9	10	14	15	16	13	2	4	1	3
