16
1	2	14	-1	-1	3	-1	13	-1	4	9	15	-1	-1	10	6
-1	-1	10	8	-1	16	4	6	13	-1	7	2	15	11	-1	14
-1	13	7	16	-1	8	-1	5	11	12	6	14	-1	4	1	3
4	12	5	6	2	14	11	-1	3	10	1	8	7	13	16	-1
6	-1	8	5	-1	1	2	4	-1	-1	16	-1	9	-1	11	12
-1	-1	-1	9	15	13	14	-1	2	3	4	1	-1	-1	7	8
2	-1	4	1	11	9	10	12	6	-1	8	5	13	-1	15	16
14	15	16	13	7	-1	6	8	10	11	12	9	1	2	3	4
-1	8	11	3	13	-1	12	2	5	1	15	6	-1	16	9	10
12	-1	15	10	9	-1	5	7	4	16	13	-1	3	-1	8	2
-1	5	-1	2	14	11	15	1	9	8	10	3	12	7	4	13
-1	1	13	4	16	-1	-1	-1	12	2	-1	-1	6	15	5	11
-1	-1	3	-1	6	15	1	14	8	13	11	-1	16	9	2	7
8	-1	1	-1	4	2	13	10	15	9	3	16	-1	-1	-1	5
-1	16	-1	15	5	12	3	11	-1	14	2	10	-1	-1	6	1
11	4	-1	14	8	-1	-1	-1	1	6	5	-1	10	3	13	15
