16
6	15	5	11	7	12	2	14	3	8	10	16	1	13	9	4
12	7	4	13	3	9	8	10	1	15	11	14	5	6	16	2
14	16	9	-1	6	5	1	15	2	12	4	13	8	-1	7	3
3	1	8	2	11	4	16	13	7	5	6	9	14	15	12	10
10	3	13	15	12	1	-1	5	9	16	7	8	4	2	11	14
11	12	14	5	16	15	9	3	10	13	2	4	6	1	8	7
4	8	6	1	10	7	14	2	11	3	12	5	16	9	13	15
16	9	2	7	4	8	13	11	14	1	15	6	10	3	5	12
7	13	-1	9	8	3	10	1	15	11	14	2	12	5	4	6
2	4	1	3	14	11	12	6	5	9	8	10	13	7	15	16
8	5	10	6	15	16	4	9	13	-1	3	12	2	14	1	11
15	11	12	14	2	13	5	7	6	4	16	1	9	-1	3	8
13	14	15	16	5	6	7	8	12	10	9	11	3	4	2	1
1	2	3	4	9	10	11	12	8	6	5	7	15	16	14	13
5	6	7	8	1	2	3	4	16	14	13	15	11	12	10	9
9	10	11	12	13	14	15	16	4	2	1	3	7	8	6	5
