25
-1	-1	-1	-1	-1	24	-1	21	-1	-1	-1	-1	11	2	-1	23	-1	3	-1	-1	-1	-1	-1	15	-1
11	-1	4	2	-1	-1	-1	-1	-1	-1	17	20	22	1	-1	-1	-1	12	19	24	-1	-1	-1	21	-1
-1	10	-1	-1	-1	7	-1	-1	-1	13	9	12	-1	-1	-1	-1	-1	-1	-1	14	-1	25	-1	-1	20
9	3	-1	22	12	11	15	1	-1	4	25	21	-1	13	18	16	-1	-1	-1	20	-1	-1	-1	-1	23
7	-1	-1	-1	5	12	-1	-1	-1	16	24	-1	23	-1	-1	11	-1	-1	-1	1	-1	3	-1	-1	-1
-1	21	-1	-1	-1	-1	-1	4	14	-1	-1	25	-1	3	19	24	13	-1	18	15	-1	20	-1	7	-1
-1	8	-1	7	-1	-1	16	-1	-1	-1	-1	-1	-1	12	-1	-1	11	-1	-1	10	-1	14	-1	-1	17
25	-1	-1	-1	-1	5	21	-1	-1	12	11	10	-1	-1	13	-1	9	7	2	-1	-1	8	-1	23	22
13	-1	-1	14	10	20	-1	-1	-1	-1	-1	23	-1	17	24	-1	21	-1	-1	-1	-1	-1	-1	-1	-1
-1	5	-1	-1	-1	25	-1	7	-1	11	-1	-1	-1	-1	-1	-1	6	-1	17	22	24	-1	21	-1	-1
22	-1	-1	24	-1	-1	23	-1	-1	-1	-1	-1	19	-1	2	-1	-1	-1	4	-1	-1	17	8	-1	-1
4	-1	-1	-1	-1	16	-1	-1	-1	-1	-1	7	9	-1	20	-1	17	-1	15	19	13	10	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	18	-1	-1	11	-1	6	-1	15	20	-1
15	-1	-1	-1	-1	9	-1	-1	21	5	-1	-1	-1	-1	-1	2	20	10	7	-1	14	-1	23	-1	24
10	-1	-1	-1	7	4	20	3	19	-1	-1	24	-1	-1	-1	8	-1	6	-1	-1	2	-1	-1	-1	9
-1	-1	18	20	-1	-1	9	-1	-1	17	12	-1	-1	-1	-1	10	-1	14	-1	6	-1	-1	-1	-1	15
14	-1	-1	-1	6	-1	4	13	-1	-1	15	-1	-1	-1	1	-1	-1	-1	22	18	-1	5	16	2	-1
12	-1	-1	-1	-1	-1	-1	24	-1	-1	-1	17	18	-1	-1	15	-1	20	3	11	-1	9	-1	-1	-1
-1	19	-1	-1	22	-1	12	-1	16	8	20	13	-1	-1	-1	-1	24	23	-1	-1	-1	-1	-1	14	-1
-1	-1	-1	-1	23	14	18	-1	-1	2	-1	19	-1	9	-1	-1	8	-1	16	17	-1	-1	-1	11	-1
20	12	-1	25	-1	-1	-1	15	11	-1	-1	-1	-1	19	-1	-1	-1	-1	14	-1	-1	-1	-1	8	-1
-1	13	-1	-1	19	-1	-1	-1	17	-1	6	-1	20	-1	11	1	-1	-1	24	9	21	-1	18	-1	2
-1	-1	-1	-1	16	-1	13	-1	-1	-1	8	-1	-1	-1	-1	-1	10	2	25	-1	3	19	-1	17	4
8	24	-1	17	-1	-1	-1	-1	-1	-1	-1	3	12	-1	9	-1	-1	-1	-1	-1	-1	-1	-1	-1	14
-1	-1	21	-1	-1	-1	-1	12	-1	-1	-1	1	-1	25	-1	-1	16	-1	20	-1	-1	-1	-1	-1	-1
