16
13	7	16	-1	8	10	-1	3	15	2	-1	14	-1	6	5	-1
-1	8	-1	-1	-1	-1	9	16	13	12	7	3	2	-1	14	-1
-1	2	-1	3	14	12	6	11	-1	10	9	-1	13	-1	7	-1
11	15	12	14	2	5	7	13	-1	1	-1	-1	-1	8	10	3
-1	13	-1	-1	-1	-1	8	-1	12	11	10	-1	3	1	4	2
6	5	-1	8	-1	-1	4	2	16	15	14	13	11	-1	12	-1
-1	-1	3	-1	9	-1	12	-1	8	7	6	5	-1	13	-1	14
-1	-1	-1	-1	13	15	16	-1	4	3	2	1	7	-1	-1	6
7	12	-1	-1	-1	-1	10	9	1	14	-1	-1	5	2	6	16
1	3	8	2	-1	-1	13	4	7	-1	5	6	14	-1	15	12
15	6	5	11	7	2	-1	-1	-1	16	8	-1	1	4	13	9
-1	14	-1	10	6	-1	15	5	2	13	12	-1	8	3	-1	7
-1	16	-1	7	-1	-1	11	8	-1	6	1	-1	10	12	3	5
12	11	14	-1	16	-1	-1	15	10	4	13	2	6	7	1	-1
3	-1	13	15	-1	6	5	1	9	8	-1	7	4	14	-1	-1
-1	4	6	1	-1	14	2	-1	-1	5	3	-1	16	15	9	-1
