25
-1	8	11	6	-1	-1	17	13	-1	-1	19	4	-1	-1	12	23	22	-1	10	-1	5	-1	-1	-1	-1
21	23	15	-1	19	3	-1	12	4	-1	22	-1	18	7	-1	-1	-1	11	5	14	-1	8	24	2	-1
25	5	-1	12	-1	-1	-1	-1	-1	-1	14	6	-1	-1	9	3	17	19	-1	4	15	23	-1	-1	-1
-1	-1	18	-1	-1	-1	23	-1	19	-1	10	-1	21	2	15	-1	8	-1	-1	-1	25	20	12	4	6
24	-1	4	1	-1	-1	11	20	14	-1	23	-1	-1	-1	-1	-1	12	16	-1	-1	-1	3	13	-1	7
11	21	-1	-1	23	22	-1	-1	10	-1	24	-1	17	14	-1	6	20	4	-1	-1	-1	5	1	3	-1
-1	12	-1	-1	-1	6	-1	-1	5	-1	15	-1	13	23	10	-1	18	-1	-1	11	-1	-1	-1	-1	-1
7	25	10	-1	-1	4	3	17	-1	-1	5	21	9	22	18	-1	-1	12	-1	24	16	15	6	8	19
-1	-1	24	-1	-1	7	20	-1	21	1	6	-1	16	11	-1	13	-1	-1	25	-1	23	4	18	14	2
-1	13	-1	8	-1	24	12	15	23	18	-1	-1	-1	20	-1	-1	16	21	-1	-1	-1	10	25	7	-1
-1	15	-1	24	13	-1	-1	8	-1	5	9	-1	22	10	4	11	7	20	12	-1	6	2	21	17	23
-1	-1	-1	19	6	14	15	-1	18	4	-1	-1	-1	-1	7	-1	-1	-1	-1	3	9	-1	-1	20	12
-1	3	-1	-1	-1	-1	-1	16	20	-1	-1	-1	-1	21	17	-1	-1	-1	-1	-1	-1	25	-1	1	-1
23	-1	25	-1	-1	-1	-1	-1	12	-1	-1	13	-1	16	-1	15	5	14	4	17	7	-1	-1	24	3
-1	16	5	4	-1	23	24	6	-1	7	3	15	-1	8	19	18	25	2	9	1	14	-1	-1	-1	-1
19	24	12	-1	-1	20	10	22	1	17	25	9	-1	-1	-1	-1	-1	18	-1	8	-1	-1	-1	13	4
-1	-1	17	-1	7	21	-1	14	-1	25	4	10	-1	-1	1	5	19	-1	-1	23	22	-1	-1	-1	-1
-1	-1	13	-1	2	8	-1	-1	-1	24	-1	18	12	-1	-1	-1	9	-1	-1	6	21	-1	20	5	25
9	-1	3	-1	-1	5	-1	-1	-1	-1	-1	-1	-1	17	21	-1	-1	22	13	-1	1	6	16	18	-1
8	14	22	21	18	12	-1	3	-1	-1	-1	2	7	5	-1	1	4	-1	11	20	-1	17	-1	15	24
13	-1	14	-1	-1	-1	16	-1	8	12	17	-1	19	-1	-1	22	24	23	-1	15	-1	-1	-1	-1	18
16	17	-1	7	-1	19	25	-1	9	3	2	22	14	-1	20	-1	-1	6	-1	10	-1	-1	-1	-1	-1
-1	2	-1	-1	24	13	5	-1	6	-1	-1	-1	15	12	11	4	14	7	17	18	3	-1	-1	22	9
22	18	19	9	12	-1	1	7	24	-1	21	-1	23	4	13	-1	-1	-1	-1	-1	8	14	17	-1	-1
3	-1	-1	-1	5	17	-1	-1	22	23	7	1	-1	-1	24	8	13	9	-1	-1	4	12	-1	25	16
