16
10	13	15	3	8	9	16	7	14	2	11	4	6	5	1	12
4	6	1	8	5	11	3	12	15	9	13	16	14	2	7	10
16	2	7	9	6	14	1	15	12	3	5	10	13	11	8	4
11	14	5	12	4	10	13	2	7	1	8	6	9	3	15	16
2	1	3	4	10	5	9	8	16	7	15	13	12	6	11	14
15	12	14	11	1	6	4	16	8	10	3	9	5	7	13	2
7	16	9	13	2	15	11	14	6	5	4	12	10	1	3	8
8	10	6	5	12	13	7	3	11	14	1	2	4	9	16	15
9	11	12	10	3	4	2	1	5	8	6	7	15	16	14	13
13	15	16	14	11	12	10	9	1	4	2	3	7	8	6	5
1	3	4	2	7	8	6	5	13	16	14	15	11	12	10	9
5	7	8	6	15	16	14	13	9	12	10	11	3	4	2	1
12	4	13	7	14	1	15	11	2	6	16	5	8	10	9	3
3	8	2	1	9	7	5	6	10	15	12	14	16	13	4	11
6	5	11	15	16	3	8	10	4	13	9	1	2	14	12	7
14	9	10	16	13	2	12	4	3	11	7	8	1	15	5	6
