16
5	12	-1	10	-1	-1	2	-1	-1	-1	-1	8	-1	15	-1	-1
-1	-1	-1	6	5	-1	14	11	3	16	-1	15	4	-1	-1	13
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	-1	-1	-1
-1	15	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3
3	8	-1	9	-1	11	-1	-1	-1	-1	-1	-1	1	16	-1	-1
-1	16	7	13	-1	4	1	2	-1	-1	-1	-1	10	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	7	1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	2	-1	-1	-1	8	9	15	4	-1	12	3	-1	7
-1	-1	-1	-1	13	7	-1	12	-1	-1	-1	-1	-1	-1	-1	15
-1	-1	11	-1	10	16	9	-1	-1	-1	1	-1	-1	4	-1	12
9	4	-1	-1	11	-1	-1	6	-1	7	2	-1	-1	-1	-1	8
-1	10	-1	-1	-1	1	-1	3	13	-1	-1	-1	9	6	-1	5
-1	5	-1	7	-1	10	11	-1	16	13	15	-1	3	-1	4	2
-1	-1	12	11	-1	-1	-1	5	4	1	3	2	-1	-1	16	-1
14	13	16	15	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	8	-1
2	-1	-1	-1	16	14	-1	-1	-1	-1	-1	-1	11	9	12	-1
